topic_id,rank,probability,channel,comment
0,1,0.346004843711853,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
0,2,0.34600481390953064,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
0,3,0.34600481390953064,Dr. Robert Cywes M.D.,Fun fact : when I ate normally and frequently training gave me a headache every time . Thirty years later I fast 17-18 hours and then do battle rope and heavy lifting ( heavy for me) and no headache never take a pill anymore - I must be getting old !!!!!!!! Oh and I lift heavier than back in the day . Hmmmm . In fact the only pill I take these days is the red-pill .
1,1,0.36248692870140076,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
1,2,0.3624861240386963,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
1,3,0.36248597502708435,Eric Berg DC,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
2,1,0.31020110845565796,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
2,2,0.3102010488510132,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
2,3,0.3102010190486908,Nick Norwitz,"Double dipping on comments:  Again, amazing info, subbed!  I in no way intend to promote said drug, but the holy grail of bodybuilding fat loss and generally regarded as the most dangerous ped, is (redacted, I really don't want to promote it).  It works in the same way as FGF-21- mitochondrial uncoupling.  I've used it, it works, it sucks.  You feel awful on it.  This approach sounds much more enticing and less risky!  Thank you for diving into the science of this and explaining it clearly."
3,1,0.324181467294693,Dr. Robert Cywes M.D.,"This is the first time I have heard anything positive about oxalates. So I can occasionally nibble on the oxalis weeds/aka “sour-sweet” in my garden, guilt-free, and if (once in a blue moon) I spot “spinach salad” on a restaurant menu, I can gobble down the spinach, hard-boiled eggs, bacon, scallions with only a passing pang for the sugar, which along with apple cider vinegar and mustard, makes up the boiled dressing?! ( Last time I saw it was in the ‘90’s). It’s far too much trouble to make mys"
3,2,0.2798909842967987,Eric Berg DC,"Feels  like my new doctor looks like he is related to Robert Redford,lol. I have been researching this for  weeks now, and it makes sense. I have a trip this month to see my sister (cancer). After I return my wife and I are going to commit to this . The only real problem we see, is getting the macros correct. I'm 53, 5'6"", and 197 pounds. She is 46, 5'7"", and 161 pounds.  Thank you for the video. We have had success in quitting smoking.Never again, we both get physically offended by the smell no"
3,3,0.27989083528518677,Eric Berg DC,"Feels  like my new doctor looks like he is related to Robert Redford,lol. I have been researching this for  weeks now, and it makes sense. I have a trip this month to see my sister (cancer). After I return my wife and I are going to commit to this . The only real problem we see, is getting the macros correct. I'm 53, 5'6"", and 197 pounds. She is 46, 5'7"", and 161 pounds.  Thank you for the video. We have had success in quitting smoking.Never again, we both get physically offended by the smell no"
4,1,0.4306343197822571,Eric Berg DC,"I would never even think about watching that show. I love your videos, and they will have to answer to God for what they are doing. Blessings to you, Dr. Berg. your knowledge in your videos are so much more helpful than just this program. Please don't let them win by being upset about it! Stick to your videos and your viewers one, being me, will be very greatful to you! You've  been suck a great Blessing to me, and I wouldn't let this situation change your way of what you do. Your a great Dr. An"
4,2,0.4306333661079407,Eric Berg DC,"I would never even think about watching that show. I love your videos, and they will have to answer to God for what they are doing. Blessings to you, Dr. Berg. your knowledge in your videos are so much more helpful than just this program. Please don't let them win by being upset about it! Stick to your videos and your viewers one, being me, will be very greatful to you! You've  been suck a great Blessing to me, and I wouldn't let this situation change your way of what you do. Your a great Dr. An"
4,3,0.43063247203826904,Eric Berg DC,"I would never even think about watching that show. I love your videos, and they will have to answer to God for what they are doing. Blessings to you, Dr. Berg. your knowledge in your videos are so much more helpful than just this program. Please don't let them win by being upset about it! Stick to your videos and your viewers one, being me, will be very greatful to you! You've  been suck a great Blessing to me, and I wouldn't let this situation change your way of what you do. Your a great Dr. An"
5,1,0.47677984833717346,Ben Bikman,"""...the cell isnt going to use both [fat and glucose] if the cell has access if there's more fats available to the cell than glucose no surpise it shifts its metabolic function to rely on fats as a primary fuel source, if there's more glucose available than fats no surprise the cell will shift its metabolic processes to rely more heavily on the glucose as the primary fuel."" [Dr. Ben Bikman - this video at 5:33]"
5,2,0.47677963972091675,Ben Bikman,"""...the cell isnt going to use both [fat and glucose] if the cell has access if there's more fats available to the cell than glucose no surpise it shifts its metabolic function to rely on fats as a primary fuel source, if there's more glucose available than fats no surprise the cell will shift its metabolic processes to rely more heavily on the glucose as the primary fuel."" [Dr. Ben Bikman - this video at 5:33]"
5,3,0.47677895426750183,Ben Bikman,"""...the cell isnt going to use both [fat and glucose] if the cell has access if there's more fats available to the cell than glucose no surpise it shifts its metabolic function to rely on fats as a primary fuel source, if there's more glucose available than fats no surprise the cell will shift its metabolic processes to rely more heavily on the glucose as the primary fuel."" [Dr. Ben Bikman - this video at 5:33]"
6,1,0.3217514455318451,Jason Fung,I had an inflamed liver full of fat 2 years ago I had an ultrasound last week liver back to normal size with no fat at all completely healed my liver with common sense that's all it takes
6,2,0.29897040128707886,Nick Norwitz,"I wonder if this inefficiency in energy production means that more heat is generated? Living in coldish country and working in cold envinronment, it's kind of great if body generates more heat. Mitochodrial uncoupling sounds like it as this ""uncoupling"" is often mentioned in brown fat stuff.. In these things losing bodyweight kind of seems like to be the main topic and that's just irrelevant for me, no problem staying light weight, but increasing heat production would be just awesome."
6,3,0.29897019267082214,Nick Norwitz,"I wonder if this inefficiency in energy production means that more heat is generated? Living in coldish country and working in cold envinronment, it's kind of great if body generates more heat. Mitochodrial uncoupling sounds like it as this ""uncoupling"" is often mentioned in brown fat stuff.. In these things losing bodyweight kind of seems like to be the main topic and that's just irrelevant for me, no problem staying light weight, but increasing heat production would be just awesome."
7,1,0.4893259108066559,Eric Berg DC,What to take.  Potassium  Magnesium  Calcium  Sea Salt Trace minerals  Vitamin B   Drinks you can take Water with lemon Coffee Tea without milk or cream Bone broth
7,2,0.4893234968185425,Eric Berg DC,What to take.  Potassium  Magnesium  Calcium  Sea Salt Trace minerals  Vitamin B   Drinks you can take Water with lemon Coffee Tea without milk or cream Bone broth
7,3,0.48932138085365295,Eric Berg DC,What to take.  Potassium  Magnesium  Calcium  Sea Salt Trace minerals  Vitamin B   Drinks you can take Water with lemon Coffee Tea without milk or cream Bone broth
8,1,0.3558351695537567,KenDBerryMD,"Thank you, Dr. Berry, your videos provide valuable information that I really appreciate.  It's a kindness that you share your wisdom with us like this, and I've enjoyed reading your books;  great information in them.  Blessings to you and your family."
8,2,0.30683496594429016,KenDBerryMD,"I purchased this book after watching this video and a 15 minute zoom conversation. I read the book from cover to cover in two days and plan to do it again. An absolute easy to understand book,  Thank you for all of the inclusive information."
8,3,0.3046274185180664,Jason Fung,"Thank you, Dr. Fung, for sharing such valuable information that helps prevent suffering and tragedy from diseases that are preventable through dietary and lifestyle changes.  God bless you."
9,1,0.6014166474342346,KenDBerryMD,"I had tiny tiny skin tags on my eyelids and on my neck, after I started the Carnivore diet, it's all gone. I had dark patches on my face it's all gone.  it started to go away when I started water fasting. I did water fasting for about 1 month and then slowly moved to a Carnivore diet and it's all gone.  Before I cannot walk more than 2 miles I will get tired and have pain. Now I can walk more than 6 miles with no problem (tested). I feel like I am super charged energizer bunny.  It took me only "
9,2,0.5019579529762268,Shawn Baker MD,"Pain relief, I had an issue where pain radiated down my left arm lost feeling and movement in my left hand. For pain relief I used a hot towel wrapped on my forearm, relief was quick and fairly long lasting."
9,3,0.5019578337669373,Shawn Baker MD,"Pain relief, I had an issue where pain radiated down my left arm lost feeling and movement in my left hand. For pain relief I used a hot towel wrapped on my forearm, relief was quick and fairly long lasting."
10,1,0.5034564733505249,Ben Bikman,"Easy to understand, I was on low calories intake low fat diet and never lost any weight but gained weight,  at  same time a1c going up. On keto diet  for 4th year lost 30 lbs with in three months of starting keto not gained any weight and gaining more muscle mass losing fat. Intermittent fasting 16-8 hunger is not an issue.  People don’t understand this concept and are in vicious cycle of weight gain. Prisoner  of medication following dr advise which I followed for 15 years and made my metabolis"
10,2,0.5034557580947876,Ben Bikman,"Easy to understand, I was on low calories intake low fat diet and never lost any weight but gained weight,  at  same time a1c going up. On keto diet  for 4th year lost 30 lbs with in three months of starting keto not gained any weight and gaining more muscle mass losing fat. Intermittent fasting 16-8 hunger is not an issue.  People don’t understand this concept and are in vicious cycle of weight gain. Prisoner  of medication following dr advise which I followed for 15 years and made my metabolis"
10,3,0.503455638885498,Ben Bikman,"Easy to understand, I was on low calories intake low fat diet and never lost any weight but gained weight,  at  same time a1c going up. On keto diet  for 4th year lost 30 lbs with in three months of starting keto not gained any weight and gaining more muscle mass losing fat. Intermittent fasting 16-8 hunger is not an issue.  People don’t understand this concept and are in vicious cycle of weight gain. Prisoner  of medication following dr advise which I followed for 15 years and made my metabolis"
11,1,0.3928009569644928,Mark Hyman,"Food processing companies, like Pillsbury, want to sell and/or use high gluten wheat flour (durum or spring wheat).  My Dad was an engineer for Pillsbury.   He worked on a research project to extract gluten from some wheat flour in order to enhance the percentage of gluten in other wheat flour.   Gluten is the structure that allows the bread rise more - more holes.  Some people like that type of bread.  Try eating low rise bread, like naan.  Maybe it is using a wheat plant that produces less glu"
11,2,0.31113049387931824,Nick Norwitz,"I've always thought that LMNT was ridiculous, starting with the silly name. Everyone who I've seen promoting it is sponsored by the company. Also, whenever I've seen recommendations of electrolytes, usually they indicate that we need more potassium than sodium, but here is an overpriced product that contains 1000 mg of sodium but only 200 mg of potassium. Five times more sodium than potassium. Do people not realize that pretty much everyone has sodium at home in the salt shaker? LMNT has always "
11,3,0.31113022565841675,Nick Norwitz,"I've always thought that LMNT was ridiculous, starting with the silly name. Everyone who I've seen promoting it is sponsored by the company. Also, whenever I've seen recommendations of electrolytes, usually they indicate that we need more potassium than sodium, but here is an overpriced product that contains 1000 mg of sodium but only 200 mg of potassium. Five times more sodium than potassium. Do people not realize that pretty much everyone has sodium at home in the salt shaker? LMNT has always "
12,1,0.38584282994270325,Ben Bikman,"I did my labs a couple times and my insulin is 1.9 but I can’t find any information on what to do to raise insulin. Everything is all about insulin being too high and it’s not type one diabetes my blood sugar and hemoglobin A1c is in normal optimal levels, but I do get occasional lightheaded when I exercise please offer some thoughts thank you"
12,2,0.3858417570590973,Ben Bikman,"I did my labs a couple times and my insulin is 1.9 but I can’t find any information on what to do to raise insulin. Everything is all about insulin being too high and it’s not type one diabetes my blood sugar and hemoglobin A1c is in normal optimal levels, but I do get occasional lightheaded when I exercise please offer some thoughts thank you"
12,3,0.3858416974544525,Ben Bikman,"I did my labs a couple times and my insulin is 1.9 but I can’t find any information on what to do to raise insulin. Everything is all about insulin being too high and it’s not type one diabetes my blood sugar and hemoglobin A1c is in normal optimal levels, but I do get occasional lightheaded when I exercise please offer some thoughts thank you"
13,1,0.4323374927043915,Anthony Chaffee MD,"I think some people are confused here, it's not that those vegetables cannot be eaten it is just that you have to prepare them properly in order to avoid or remove  toxins from the fruits and veggies we usually eat. It's like pufferfish ya'll folks it is highly poisonous but once you prepare it properly, then it can be eaten. I think there's a lot of varieties of fruits and veggies that contain things that our bad for us if they weren't prepared properly or eaten. Ofcourse not all of them, just "
13,2,0.4323368966579437,Anthony Chaffee MD,"I think some people are confused here, it's not that those vegetables cannot be eaten it is just that you have to prepare them properly in order to avoid or remove  toxins from the fruits and veggies we usually eat. It's like pufferfish ya'll folks it is highly poisonous but once you prepare it properly, then it can be eaten. I think there's a lot of varieties of fruits and veggies that contain things that our bad for us if they weren't prepared properly or eaten. Ofcourse not all of them, just "
13,3,0.43233633041381836,Anthony Chaffee MD,"I think some people are confused here, it's not that those vegetables cannot be eaten it is just that you have to prepare them properly in order to avoid or remove  toxins from the fruits and veggies we usually eat. It's like pufferfish ya'll folks it is highly poisonous but once you prepare it properly, then it can be eaten. I think there's a lot of varieties of fruits and veggies that contain things that our bad for us if they weren't prepared properly or eaten. Ofcourse not all of them, just "
14,1,0.49301671981811523,Nick Norwitz,"Thank you. Please explain your choice to use the word “risk” when mentioning LDL-C and ApoB. Is that word technically correct in the absence of well-designed, sufficiently powered, double-blinded, RCTs, etc?  Is it even ethically possible to conduct a study sufficient to establish causation of heart disease by those factors such that the word “risk” is not inaccurate, unfounded and misleading?  Are those more reliably described as proxy markers that might suggest something about a person’s overa"
14,2,0.49301666021347046,Nick Norwitz,"Thank you. Please explain your choice to use the word “risk” when mentioning LDL-C and ApoB. Is that word technically correct in the absence of well-designed, sufficiently powered, double-blinded, RCTs, etc?  Is it even ethically possible to conduct a study sufficient to establish causation of heart disease by those factors such that the word “risk” is not inaccurate, unfounded and misleading?  Are those more reliably described as proxy markers that might suggest something about a person’s overa"
14,3,0.4930151104927063,Nick Norwitz,"Thank you. Please explain your choice to use the word “risk” when mentioning LDL-C and ApoB. Is that word technically correct in the absence of well-designed, sufficiently powered, double-blinded, RCTs, etc?  Is it even ethically possible to conduct a study sufficient to establish causation of heart disease by those factors such that the word “risk” is not inaccurate, unfounded and misleading?  Are those more reliably described as proxy markers that might suggest something about a person’s overa"
