category,example
weight_loss,i have been on the carnivor diet for 45 days and have lost 30 pounds. revered my ibs..and i am lowering my blood pressure. i'm now omad and it's working out great for me. i am boarder line pre diabetic and hopefully in time my blood results will be much better. 🙏. god bless doctors like him for gett
weight_loss,"i have lost 65 pounds at 60, and never havre felt better on carnivore."
weight_loss,"dear dr fung, i started my fasting journey about 2 1/2 years ago and you were one of my biggest inspirations. you videos were most informative and scientific. i lost 30 kgs in the first year and made fasting my life style. for last 2 1/2 years, i eat only one meal a day and do a 48 hour fast once a "
weight_loss,"i started 16:8 fasting since 1 nov by skipping dinner, intake less carbohydrate and sugar,  long walk 4 days a week, lost 10 lbs. in a month.  i feel good and will continue this habit, thanks dr. fung."
weight_loss,"easy to understand, i was on low calories intake low fat diet and never lost any weight but gained weight,  at  same time a1c going up. on keto diet  for 4th year lost 30 lbs with in three months of starting keto not gained any weight and gaining more muscle mass losing fat. intermittent fasting 16-"
weight_loss,"i have been on a vegan (mainly organic) diet (no soya. no artificial anything. no lab meat etc) for almost 20 years. i was diagnosed being pre-diabetic. told i have gall polyps. my body (all of it) aches, hurts, feels broken. i have so much pain all over. spasmodic. i never know where i hurt next. i"
weight_loss,i went keto 6 weeks ago and lost 7 lbs without an exercise routine. just my regular outdoor duties. learning new recipes has been fun but the most challenging effort is finding what i need on store shelves due to covid-19.
weight_loss,i have lost 86 pounds in the last year and a half. mainly by just cutting out sugar. except for the occasional treat.  and everything you say is true.
weight_loss,"hi. my apob is over 230 mg/dl. i don't know what i should do now. tg/hdl ratio is 1.1, ldl is around 380 mg/dl (135 before keto). a1c of 5.5%. blood pressure very good.    i've lost 57 lbs in the last 1.5 years and ibs is much better than before. i wouldn't like to take statins. still have 30 lbs to"
weight_loss,"just from my own experience, i am 56 with a family history of heart attacks and have been 90%+ carnivore for 3 years the first time and about six months on my restart (my former doctor made me second guess my decision even though i felt my best being very low carb). my ldl and hdl concerns my curren"
weight_loss,"currently of 93rd hr of my 96 hr fast. incredible feeling… razor sharp brain, fat loss, feeling light, going for a swim. working all day. oh, btw , already lost 26 kgs in one year  on omad on little to no work out. just walking and taking stairs"
weight_loss,i’m 64. i was having trouble working out. i would have to take at least 2 days off after a workout. since starting on a diet of bacon and eggs in the morning and 2 boiled eggs at night i work out 6 days a week now and have lost 15 lbs. i am convinced that since the government is telling us to not eg
weight_loss,"my a1c got high. the dr. said i was diabetic and wanted to start me on metformin.  i said give me a few months and test again.  i changed my diet to mainly meat and cheese.  i limited bread, and other carbs i lost 70 lbs. in six months and a1c came out normal."
weight_loss,"i know this is an old video but my god i found it so helpful as i’ve just started my fasting journey….. i decided to go big and did 40 hours last week and i really enjoyed it… so i had two days of normal eating and last night i started my second 40 hour fast, now i’m about to go bed i’m gonna wake u"
weight_loss,i've been doing hard work for four months now and i've lost 80 pounds and i am re stricted to a wheelchair. about 23 pounds in the first month and then i could not lose another oz for three weeks during this time i was fasting 24 hours and eating one meal fasting 24 hours and eating another meal etc
weight_loss,"my anecdotal experience with whole lemons. i have had 4 pregnancies, with 4 different cravings. age 21, 1st one was a 7.8oz boy, i craved lemon and salt. i could go through a bag of lemons pouring on the salt. i gained 14lbs lost 25 pounds in the 1st week after. pregnancy 2&3 girls at age 24 and 27 "
weight_loss,sorry forgot to mention i lost 88 pounds doing the diet and taking sea kelp tablets for iodine. i am 69 and feel 23!!!
weight_loss,"i actually tried the 20:4 right away at first, i felt weak the first 2 days but then after that my body get used to it ive lost 3 lbs so far not even a week. i felt much energetic and focused on what i’m doing."
weight_loss,96 hours here lost 8 lbs.
weight_loss,"dr. berg, i switched from sugar to honey several years ago and i got every benefit you said. i think honey is attacked like fat and they both aren’t bad for you. i use about 2-3 lbs of raw honey every week and lost 20 lbs without trying and feel freaking amazing. i don’t wake up during the night for"
blood_sugar,"i did an 18.5 day water fast, refed and then went into carnivore.  it's only the first week of carnivore diet, and my fasting blood glucose is down to 127 today! i haven't taken any meds since before my fast!  eating carnivore barely affects my glucose, if at all, and i get to watch it trend down da"
blood_sugar,“i was on keto for 2 years. i lost weight and my blood sugars and a1c went down but then…. my blood sugar numbers started going up along with my weight and my a1c went from a 5.1 to 5.7. i decided to go plant based because that's what i was before but i wasn’t doing it the correct way. this time i d
blood_sugar,"the broad study is a study of the whole food plant based diet: a randomized controlled trial (the gold standard of studies)   outcome: the wfpb diet can be seen as an effective, safe option for weight loss and chronic disease risk and quality of life improvements. key foods included whole grains, le"
blood_sugar,"my a1c got high. the dr. said i was diabetic and wanted to start me on metformin.  i said give me a few months and test again.  i changed my diet to mainly meat and cheese.  i limited bread, and other carbs i lost 70 lbs. in six months and a1c came out normal."
blood_sugar,"i did keto 5 years, followed by 3 years carnivore,  followed by 8 months keto. i went back to keto,  because my hba1c was creeping up to 6.0. i had a prostate biopsy, next day i couldn't pee, bp in the emergency room was 210 over 90 for a couple hours,  before they inserted a catheter.  one week lat"
blood_sugar,"thanks dr. fung for awesome and inspiring knowledge on fasting.  i have pravtice on fasting and now i stop using diabetic pills (glibenclamide and metformin). during two weeks, my blood sugar amazingly get down to 102. i am happy to see that my pancreas is working well. your statement that diabetes "
blood_sugar,"the broad study is a study of the whole food plant based diet: a randomized controlled trial (the gold standard of studies)   outcome: the wfpb diet can be seen as an effective, safe option for weight loss and chronic disease risk and quality of life improvements. key foods included whole grains, le"
blood_sugar,"i've been on keto for over a year now, also if. weigh the same as when i started, even though my a1c is down,  energy up and sleep better.  i have now started to take control of calories and portion control. weight has finally started to budge a bit. i don't count fats."
blood_sugar,"i am in ketosis for the last 2 weeks, and my blood sugar are down to 4.6 sometimes a bit lower . i feel shaky and a bit weak,  i do  18 \ 24 intermittent fasting ,i am not a diebetic, can anyone tell me if that will get better ? or should i   a shorter fast .thanks."
blood_sugar,"i did my labs a couple times and my insulin is 1.9 but i can’t find any information on what to do to raise insulin. everything is all about insulin being too high and it’s not type one diabetes my blood sugar and hemoglobin a1c is in normal optimal levels, but i do get occasional lightheaded when i "
blood_sugar,"i'm 59, 3 months on keto...down 22 lbs, 213 to 192, a1c back to normal. not going back to my carb addiction."
blood_sugar,"this is a long post and i apologize. i first saw this video on 3/20/22. it motivated the hell out of me. i have had type ii diabetes for 22 years. i ignored all medical advice until i was put on medication. still, not taking it seriously until my lab numbers were off the hook. years ago i developed "
blood_sugar,"all i know is that at 79 and 12  weeks on carnivore ,with the odd slip , i am sleeping through the night no need to p. not hobbling around on sore ankles , no backache every day , waking up with a zest for life , whereas before i was sick and tired of feeling sick and tired , and my blood sugar has "
blood_sugar,"this is a long post and i apologize. i first saw this video on 3/20/22. it motivated the hell out of me. i have had type ii diabetes for 22 years. i ignored all medical advice until i was put on medication. still, not taking it seriously until my lab numbers were off the hook. years ago i developed "
blood_sugar,i am pre-diabetic and have had bad reactions to meds. my dr has finally started me on a 16:8 plan and the weight is finally coming off and my blood sugars are coming down.
blood_sugar,"million of thankz dr.jason fung, using your tips that i was able to reduce my a1c from 7.2 down to 5.3 in 7mths. also good weight bmi too"
blood_sugar,"i've been on keto for over a year now, also if. weigh the same as when i started, even though my a1c is down,  energy up and sleep better.  i have now started to take control of calories and portion control. weight has finally started to budge a bit. i don't count fats."
blood_sugar,"over five years ago i was dx with diabetes, my doctor then put me on metformin (my gut couldn’t take it) then glipzide (bad side effects). he told me i would need to start injecting insulin unless i changed my diet. i said no way! i hate needles. he then suggested for me to eat low carb, avoid sugar"
blood_sugar,"i'm on 18 hours/day i.f. based on other dr berg videos. been adhering to other food tips, ie leafy greens, l. reuteri, organic foods, etc. blood glucose has returned the ""normal"" range. also dropped three pants sizes.  life's good. thank you, dr berg."
blood_sugar,"my boyfriend and i tried to go on carnivore. it is just too expensive right now. especially beef. we were able to go on it for about 3 weeks. he just recently had some lab work done. he is a type2 diabetic, and his a1c generally stays just over the 8 mark. his lab results were actually pretty good. "
pain_relief,i have been trying meat only diet (organ meats) for the last few weeks and i feel mentally and physically so fit. i feel like reverse aging. all pains and headaches gone !!!
pain_relief,"slightly off topic, i noticed when i added raw food to my diet,  chia seeds, vitamin d, nuts & turmeric, my health improved in many ways, skin rashes on legs disappeared, pain in joints disappeared, asthma improved, slept better, and rarely had colds.  whilst cutting out most processed food, i still"
pain_relief,"i had a nerve injury from jiu jitsu that radiated from my neck down my left arm for 3 months! i was getting a massage and using a chiropractor every week, very experience out of pocket for me too. i used a grounding patch, essentially a cardiac lead from an ekg, placed it on the trap area next to my"
pain_relief,"started fasting 2 years ago. lost 20 lbs. then this past feb i added ketogenic diet with omad. i try to fast 72 hrs+ every week. i have lost 70 lbs total, no more joint pain. no more brain fog. dr berg videos are my go-to during fasting for encouragement. ❤"
pain_relief,"the fibrocystic breast thing! i literally had a doctor's appointment scheduled because i thought i was getting breast cancer (my great grandma died from it nearly same age as me 34). started taking iodine for other reasons, and just realized while listening to this my pain is gone and significantly "
pain_relief,"i started the carnivore diet 3 days ago. i was 416 lbs, now i'm 409! 250 lbs more to go lol. after first day actually, my lower back pain of 11 years went away. literally. one day."
pain_relief,"i had taken the first sky something for psoriatic arthritis. i had a huge bad reaction within 5 minutes of the shot. a week later shingles broke out on my face, all 3 zones!!! i ended up in the hospital with a pain level of 20!!!! they sent me home with drugs that didn’t help. with the shingles cont"
pain_relief,"4 years ago, at 58, i went westman protocol keto and in 8 months, lost 50 lbs, hypertension gone, joint pain gone, etc. it is/was transformational. after a year of strict keto, i began slowly metering in some carbs and so far so good. up to 40-75g/day, maybe more at a celebratory gathering. i feel r"
pain_relief,"i had taken the first sky something for psoriatic arthritis. i had a huge bad reaction within 5 minutes of the shot. a week later shingles broke out on my face, all 3 zones!!! i ended up in the hospital with a pain level of 20!!!! they sent me home with drugs that didn’t help. with the shingles cont"
pain_relief,"dankie doctor! you make a lot of sense! if i eat beans i have severe gas and discomfort. i have been attempting carnivore for the last 9 weeks, my digestion issues are gone and my finger joint inflammation has improved, pain almost gone! i’ve also lost 8 pounds. when we moved to america i gained 40 "
pain_relief,"sorry to hear this shawn. i have a herniated disc in my lumbar region and did not want surgery either. so, i had a steroid injection this past may and no more pain. i am not sure how long it will last, but if i can make it for at least a year i will be happy!"
pain_relief,"i’ve been carnivore 80% of the time for almost a year. my chronic joint pain is gone and my eczema is virtually gone. symptoms start returning when i have a slip up/lazy week from time to time. everyone just needs to find what works for them. if you have no issues eat a balanced diet, its alot more "
pain_relief,"i'm so happy i found you! i started carnivore the day after thanksgiving this year. 2.5 months later, i'm down from 275 lbs to almost 225! arthritis in both knees from 10 year in army, the pain has completely disappeared. i've always had chronic migraines 2-3 times a week, now i haven't had a single"
pain_relief,"dankie doctor! you make a lot of sense! if i eat beans i have severe gas and discomfort. i have been attempting carnivore for the last 9 weeks, my digestion issues are gone and my finger joint inflammation has improved, pain almost gone! i’ve also lost 8 pounds. when we moved to america i gained 40 "
pain_relief,"i had taken the first sky something for psoriatic arthritis. i had a huge bad reaction within 5 minutes of the shot. a week later shingles broke out on my face, all 3 zones!!! i ended up in the hospital with a pain level of 20!!!! they sent me home with drugs that didn’t help. with the shingles cont"
pain_relief,never quitting keto. no more pain joint here!
pain_relief,"my daughter was also on the meat based formula, in 1960 at the air force base in denver co. she could not process the regular formula and was vomiting everything and severely constipated, very pale, and in terrible pain until the doctor on base gave her the meat based formula. it was miraculous! in "
pain_relief,"i'm in northern ireland and started an extreemely low carb and high animal product food and meats of all kinds,eggs,fish,red meat diet a week and a half ago and already energy levels sky high,brain fog and aches and pains etc all gone and an aweful lot of water retention has dissapeared around the u"
pain_relief,"well having high blood pressure for over 20 years and taking at least 12 tablets daily an did not really help. started first spelt bread , noodles eating vegetables salads. removing lunchmeat  no pig meat. started keto . did almost 4 months. hbp  well sometimes okay. end of april started carnivore. "
pain_relief,"the fibrocystic breast thing! i literally had a doctor's appointment scheduled because i thought i was getting breast cancer (my great grandma died from it nearly same age as me 34). started taking iodine for other reasons, and just realized while listening to this my pain is gone and significantly "
energy_gain,i do this but i eat only one meal a day at 7pm and i lose about 1 kg or 1/2 kg a day and i feel healthier than before i got more energy when i play soccer .
energy_gain,‘bullshit’ lol! without breakfast i have so much more energy. i am not hungry. i work night shifts and my first meal is usually as close to 4 am as i can get preferably 5 am. always great info doctor cywes!
energy_gain,"this is a really great video and definitely something anyone should watch and understand if they’re considering trying keto or sugar fasting.  in the video, nick norwitz explains that both high-carb, low-protein (sugar fasting) and high-fat, low-protein (keto) diets elevate fgf21, which is the hormo"
energy_gain,"can’t wait!!!  and of course it is going to start out as more expensive and more energy. it’s new unoptimized tech making small amount of meat, over time it’ll get more efficient and larger batches."
energy_gain,"i did this as of sept. 2022. up to today 6- 2 23....i have loss 33 plds.i have so much more energy, i feel so much better . i do not eat any carbs, thank you mr. berry"
energy_gain,i eat mostly all fruit! iost about 30lbs i have more energy and my skin isn't ichyand i  look younger. i eat grapes a lot. i quit junk food and packaged snacks.
energy_gain,"what if cold exposure gives you more energy. sardines too for more stairs. i do inversions most days, it helps with energy and cold tolerance for sure. i ride the desk all day and need to get movement. pull ups on random trees while on walks. when i don't feel like shirt off in cold i know i need to"
energy_gain,finally common sense advice- i find i have more energy
energy_gain,"eight weeks carnivore happy with results. hit ideal weight, better sleep, more energy and overall well being.  thanks for the great information on your channel. 🙏"
energy_gain,"i did this as of sept. 2022. up to today 6- 2 23....i have loss 33 plds.i have so much more energy, i feel so much better . i do not eat any carbs, thank you mr. berry"
energy_gain,"i’m not disputing any thing in this video but i will say this.  my son is on a increased protein regimen, but he eats oatmeal about 4 to 6 times a week.  he has been losing weight steadily and more energy.  overall paying close attention to his health.  gi issues are almost gone as long as he stays "
energy_gain,"a couple of things.   there are many people who are on carnivore long term. it's not a bad diet. for some, it's a necessity.  carnivore can absolutely be a temporary diet to get you body reoriented and understand what cause you problems. it's an elimination diet.  some people, like myself, do it sim"
energy_gain,"well, i've been a strict kale, veggie, low/no fat dieter for over the last 10 years,  some chicken or fish was only meat. i'm 6 ft tall, 160 pounds, moderate exercise, and have been watching my waist go from 32"" to 36"" over the years! and my doc's written advice? eat less fat! how do you cut fat out"
energy_gain,can this mechanism explain why vegetarians experience more energy? what are the risks on mitochondria after long time on this low protein diets?
energy_gain,i have been on carnivore diet for 6 days and already no longer suffer with af i have more energy and i not waking up with dry month and no breathlessness. i was not over weight so that was not the problem. the problem was not sleeping very well. the first three nights i was up peeing a lot but now o
energy_gain,"i am 73 and use ketones when swimming, my body accesses more energy in a work out"
energy_gain,"a couple of things.   there are many people who are on carnivore long term. it's not a bad diet. for some, it's a necessity.  carnivore can absolutely be a temporary diet to get you body reoriented and understand what cause you problems. it's an elimination diet.  some people, like myself, do it sim"
energy_gain,"i cannot find a local doctor who is keto/carnivore-friendly! agh! my own doc pesters me about getting on statins(even though, at 70, i have great numbers, no heart issues, more energy, no meds, etc!) and told me “keto/carnivore is not ‘sustainable’…that there will be consequences”! yep, i love the ‘"
energy_gain,"i have been drinking lemon water and i have experienced clear skin, tones of vitamin c that has deterred sickness and more energy. mostly clear and radiant skin!"
energy_gain,"i had taken the first sky something for psoriatic arthritis. i had a huge bad reaction within 5 minutes of the shot. a week later shingles broke out on my face, all 3 zones!!! i ended up in the hospital with a pain level of 20!!!! they sent me home with drugs that didn’t help. with the shingles cont"
disease_reversal,"i'm 65 first time. i am trimming down, off insulin, but not on a diet , i eat ketovore all very low carb oxalate side veg . this works, in 1985 i spent hours in the gym to compete in canada strongman, i had 17 bycepts a 54 "" chest, today 18 "" bycepts 54 "" chest , and train 30 minutes a day , strictl"
disease_reversal,62 yr old female who has been carnivore for just over a year. keto for 8 yrs before that.  i do daily intermittent fasting for 17 hrs. went from 220 to 145 on carnivore.  had a complete physical 3 months ago which included a comprehensive metabolic panel  that i asked for. he knew about a personal l
disease_reversal,my doctor keeps pushing me to get on a statin because my cholesterol is higher on carnivore.  wants me to limit the red meat even though i've reversed diabetes and improved so much.  it is a struggle.
disease_reversal,so interesting! i love the chemical details for metabolic pathways. i want to see the stick figures for the molecules now. i love that allulose is being studied and the news is great. thank you thank you from keto reversed type 2 diabetic.
disease_reversal,"all i know is that 4 people in my family have now switched to a whole food, plant based diet, and it literally cured their type 2 diabetes 🤷‍♂️"
disease_reversal,"all i know is that 4 people in my family have now switched to a whole food, plant based diet, and it literally cured their type 2 diabetes 🤷‍♂️"
disease_reversal,"we need protein for essential amino acids, we need fat for essential fatty acids, we do not need carbohydrates so that seems to indicate to me we are carnivore , but i’m just a computer engineer. my girlfriend reversed her type 2 diabetes with keto and has been off medication for over 20 years."
disease_reversal,"we need protein for essential amino acids, we need fat for essential fatty acids, we do not need carbohydrates so that seems to indicate to me we are carnivore , but i’m just a computer engineer. my girlfriend reversed her type 2 diabetes with keto and has been off medication for over 20 years."
disease_reversal,"so you're telling me because i don't have money to buy food i have cured fatty liver? damn, well now i have a different outlook on not having money and just surviving on sleep and water."
disease_reversal,"dr berry, my husband lost over 100 lbs eating ketovore. heavy on the meat. he’s reversed his type 2 diabetes. he just had lab work done and his a1c was perfect after being off meds for over 6 months. but the amount of protein in his urine is off the charts. doctor is concerned about it because he co"
disease_reversal,"love love you and your wife’s advice and knowledge about this health journey!!! i am currently weaning off a statin, and i am still on levothiroxin for my thyroid. what info can you share on that? thank you soooo much!!!!"
disease_reversal,there was a 2021 harvard study you showing carnivore diet basically cured type 2 diabetes.
disease_reversal,lowered my carbs & upped my salt and my blood pressure went to perfect. reversed my type 2 diabetes too. carbs are the cause of a lot of illnesses.
disease_reversal,one week of completing doing a 16/8. my endo doc said it would be ok. my acromegaly is still not in remission even after removing the tumor and  taking a month of medication. i am off the insulin and my bp is registering a normal range with lots of medication. i am 208 pounds with a round tummy. i h
disease_reversal,73 . off medications  i took for 35 years for depression  anxiety  insomnia.  fiber was killing my intestines.  would i like to eat a vegetable  or two? yes biut not with pain
disease_reversal,"i have lost 50 lb in 3 months going strict carnivore. it completely healed my fatty liver, ibs, and inflammation in an old knee injury. eat what you want, but i’ll continue taking my chances with a diet that has made me feel like i’m in my 20s again. 💪😎"
disease_reversal,so interesting! i love the chemical details for metabolic pathways. i want to see the stick figures for the molecules now. i love that allulose is being studied and the news is great. thank you thank you from keto reversed type 2 diabetic.
disease_reversal,"i'd say i fit squarely  into the hyper-responder category. i'm fit, have 'normal' bmi and exercise regularly. in us numbers, my total cholesterol is 498, my hdl is 96 and my triglycerides are 64. my ldl and total numbers were so crazy high my doctor freaked out and i went back onto medication (pcsk9"
disease_reversal,"i reversed my diabetes in about a month. you don't need to fast. all you need to do is to reduce you calorie intake to 600 calories a day with a non sugar diet. i ate veggies, and drank atkins milkshake for breakfast, lunch, and dinner. notice i didn't say fruit. this was based upon the newcastle di"
disease_reversal,"we need protein for essential amino acids, we need fat for essential fatty acids, we do not need carbohydrates so that seems to indicate to me we are carnivore , but i’m just a computer engineer. my girlfriend reversed her type 2 diabetes with keto and has been off medication for over 20 years."
symptom_gone,i have been trying meat only diet (organ meats) for the last few weeks and i feel mentally and physically so fit. i feel like reverse aging. all pains and headaches gone !!!
symptom_gone,"started fasting 2 years ago. lost 20 lbs. then this past feb i added ketogenic diet with omad. i try to fast 72 hrs+ every week. i have lost 70 lbs total, no more joint pain. no more brain fog. dr berg videos are my go-to during fasting for encouragement. ❤"
symptom_gone,"my inflammation went away after 5 weeks. i've been going to every doctor, taking every medication that doesnt work for 7 years. now i feel great.  the weight loss is the added bonus. i feel great."
symptom_gone,"i have had inflammation — didn’t know i was having “inflammation” until i went mostly carnivore. but feeling guilty about no green veggies i tried a little cooked cabbage with my ground beef stew, and knee inflammation turned on again. stopped eating cabbage and in 2 days the inflammation subsided. "
symptom_gone,"yes! mind blowing!! when i stopped sugar i feel regenerated inside,, not as tired when working long hours. even my eyes sight got better! inflammation went away"
symptom_gone,"i have lost 9 pounds since early september 2023. increased my meat dropped alcohol, most things white, sugar in my coffee. inflammation just about gone. body making small changes. fitting in clothes i should have got rid of years ago. no longer needing afternoon naps. primary doctor non-existent not"
symptom_gone,this is literally so true. i stopped eating sugar for 2 months last year cuz i figured it played huge role in my acne & inflamed skin. my food supply in a day was 80% sugary foods before trying this out. i know yikes i set myself up for teenage diabetes. sooo 1 month in the sugar-free diet & i forgo
symptom_gone,"i was keto eating fruit and vegetables. i still had high blood pressure and inflammation. once i went carnivore with no fruits and vegetables, my hereditary high blood pressure dropped to 111/64 and my inflammation is gone."
symptom_gone,keto and intermittent fasting was life changing for me.  brain fog and anxiety gone.  endless energy and great sleep.  never going back.
symptom_gone,"yes! mind blowing!! when i stopped sugar i feel regenerated inside,, not as tired when working long hours. even my eyes sight got better! inflammation went away"
symptom_gone,this is literally so true. i stopped eating sugar for 2 months last year cuz i figured it played huge role in my acne & inflamed skin. my food supply in a day was 80% sugary foods before trying this out. i know yikes i set myself up for teenage diabetes. sooo 1 month in the sugar-free diet & i forgo
symptom_gone,this is literally so true. i stopped eating sugar for 2 months last year cuz i figured it played huge role in my acne & inflamed skin. my food supply in a day was 80% sugary foods before trying this out. i know yikes i set myself up for teenage diabetes. sooo 1 month in the sugar-free diet & i forgo
symptom_gone,"started fasting 2 years ago. lost 20 lbs. then this past feb i added ketogenic diet with omad. i try to fast 72 hrs+ every week. i have lost 70 lbs total, no more joint pain. no more brain fog. dr berg videos are my go-to during fasting for encouragement. ❤"
symptom_gone,"after about 1 week of fssting , i realized that when i wake up in the morning my inflammation is not so bad . 1 month in and my inflammation is gone"
symptom_gone,"i started carnivore the weekend after thanksgiving. i weighed 152 lbs @ 5’6” today i weigh 138. i had daily heartburn and 1 t of vinegar in water worked so good that i am off omeprizol. i am 70 and i haven’t had this much energy in decades, and no more brain fog!"
symptom_gone,"i’m coming up on 1 month of carnivore+small portions of fruit. i was skeptical and worried at first after reading the “risks” and high cholesterol bs. i’m happy to say i feel better than i have in a long time. bloating gone, constipation gone, blood pressure down, 10lbs down. all this accomplished w"
symptom_gone,i was on ozempic for 2 months. i told my doctor that it felt like a daily hangover. headache and nausea. i’ve gone in the direction of behavioral health. understanding why i overeat and consciously opting for healthy long term eating habits. down 25 pounds so far.
symptom_gone,i’ve had gluten intolerance all my life but i didn’t know that i had it. i knew the illness and symptoms i had ran in my family but it wasn’t until my niece was diagnosed when she was an infant that we had a name for what was wrong. been off of gluten for several years now and it’s definitely made a
symptom_gone,"i have been on zepbound for 4 months and i can tell you it has been a godsend. i have ""done all the things"" and struggled my entire life (and diagnosed with pcos as a teen). literally, my mom told me that at 6 weeks old i was off the charts for height and weight. for a few years i worked out hard tw"
symptom_gone,"started fasting 2 years ago. lost 20 lbs. then this past feb i added ketogenic diet with omad. i try to fast 72 hrs+ every week. i have lost 70 lbs total, no more joint pain. no more brain fog. dr berg videos are my go-to during fasting for encouragement. ❤"
