ro_id,aspect_id,aspect_name,channel,matched_keywords,comment
RO1,RO1.1,Cognitive Function,KenDBerryMD,focus,This video changed my life..doing it since 30 days.. 80% reduction in inflamation  More focus in daily life  Sleep is improved Lost weight I craved for healthy foods (which was not the case before this diet) Now i do not get angry at all on people Carnivore diet+OMAD=life😍  Thanks doc😎
RO1,RO1.1,Cognitive Function,Eric Berg DC,thinking,We always wait till we are sick and sore until we start looking for these answers. Makes me guilty thinking what my kids have consumed and how much healthier they might have been. Im glad we didn't give them fizzy juice.
RO1,RO1.1,Cognitive Function,Eric Berg DC,my brain,"Been in ketosis for about 2 weeks and I feel amazing. My cravings are like 90% gone. Every once in a while I will smell fresh bread somewhere and i get a hankering for that, but I am able to move past it. Another great thing to add here is that when I was on a sugar kick, my brain would release dopamine as a reward for eating it, I feel like I am now at a point where my brain releases dopamine for eating foods high in good fat. healthy foods have never been so delicious. I am hoping to stay stro"
RO1,RO1.2,Energy & Vitality,KenDBerryMD,"energy, more energy","Eight weeks carnivore happy with results. Hit ideal weight, better sleep, more energy and overall well being.  Thanks for the great information on your channel. 🙏"
RO1,RO1.2,Energy & Vitality,Eric Westman,"energy, more energy",I have been on Carnivore diet for 6 days and already no longer suffer with AF I have more energy and I not waking up with dry month and no breathlessness. I was not over weight so that was not the problem. The problem was not sleeping very well. The first three nights I was up peeing a lot but now Only once and I get a good night sleep. I do make sure I have salt with iodine and I take A few vitamins might give them up once I have been on this diet for a month. My plan is 3 month and then I will
RO1,RO1.2,Energy & Vitality,Mark Hyman,energy,Dr Hyman.... those Cliff bars you took with you are made out of GMO soy....  You can find more natural energy bars.  They are harder to find but there are plenty available.
RO1,RO1.3,Psychological Well-Being,Anthony Chaffee MD,happy,"Amazing interview !! I Myself I never liked vegetables , I ate them for obligation .   Since last year when I found out about the carnivore benefits , I am so happy  , eating meat eggs and butter !!   Getting into remission from Crohns and happy like never before !! 😊"
RO1,RO1.3,Psychological Well-Being,Dr. Robert Cywes M.D.,wellbeing,oh wow this information is amazing thankyou finally their are Dr's out there wanting to help  people in  the world because you really care about our wellbeing.
RO1,RO1.3,Psychological Well-Being,Eric Westman,positive,Please keep the positive information coming our way. We all need to hear the truth about what we eat.
RO1,RO1.4,Sleep Quality,Dr. Robert Cywes M.D.,rest,I believe any diet under strict restrictions is good. No diet is entirely bad. Well I have seen more result under a ketogenic diet and I feel more restrictive under this diet. I have gotten more results from a ketogenic diet than any other so I'll stick to it.
RO1,RO1.4,Sleep Quality,Ben Bikman,rest,The more I learn the more I am confused with my own lab results. My glucose and my blood sugar tested well within the normal range. And my fasting insulin tested as 'insulin resistant'.   My cholesterol tested a little high but high in 'good chloresterol'. I'm not concerned with my cholesterol results as it seems just fine based on what I have researched.  Does that mean I am a freak of nature? How can I be insulin resistant and get these results?  I'm told to exercise and eat less carbs. I'm ac
RO1,RO1.4,Sleep Quality,Eric Berg DC,night,"I grew up with my grandparents.  What they eat every day would be thought of today as super unhealthy by the ""experts"" today.  They eat a lot of eggs, meat, and fat.   My grandma would make a pie every other day for decades, and we eat pie every night.   My grandma added lard  and a lot of whole eggs to the crust of pies, she even added lard to pasta to keep it from boiling over.  If my granda made something you could be that she would put lard in it if she could.   They both had ""high"" choleste"
RO1,RO1.5,Appetite & Satiety,KenDBerryMD,"hungry, never hungry","I have lost 116 pounds by using 10 different diet programs . every week I would change my program , but this carnivore program is my favorite program. I am never hungry and I have lost weight on it."
RO1,RO1.5,Appetite & Satiety,Anthony Chaffee MD,full,"Oh this is a woman after my own heart!  Fellow Albertan here. I connect with so much of what she says!  We would love to farm “full time” but she’s right about the logistics. So we have our small herds and flocks, work the 9-5 and and then the rest of the time spent raising (husband and boys hunt) food for ourselves and our children."
RO1,RO1.5,Appetite & Satiety,KenDBerryMD,full,"There is a lady in Canada that did this for 4 years and then had a full MRI scan completed. She was 45, her biological age was rated as a late teenager."
RO1,RO1.6,Pain & Inflammation,Eric Berg DC,stiff,"I’m so glad I listened. On my protein low carb diet I have gotten more stiff lately.  I heard that Amazon sells an ACV capsule!  I will be buying that.  Thks Doc, as always.  Ahna"
RO1,RO1.6,Pain & Inflammation,Mark Hyman,pain,"This is great. Second time I’m watching this episode, will probably watch it a third time. Like what other people have said, I went to seven different doctors with my weird and extremely painful, but intermittent symptoms. They all literally shrugged their shoulders. I’m healthy, my blood work numbers are excellent, they said I was fine, we don’t know what you have. Anyway … I finally figured out it’s a histamine issue, made changes that helped, then found a truly amazing nutritionist who has he"
RO1,RO1.6,Pain & Inflammation,Eric Berg DC,pain,Thank you I’m really making progress. I am doing 20 hours and today I did 22 hours before I ate my food. I’ve been feeling really good and no pain in my feet.
RO1,RO1.7,Digestive Health,Eric Westman,bowel,"It took me a long time to accept that daily bowel movements are not a sign of good health but of poor food choices. Meanwhile I mostly  am carnivore, and I have bowel movelments maybe every third day. And I am just fine."
RO1,RO1.7,Digestive Health,Eric Berg DC,nausea,"So, sugar is definitely highly addictive. When I became diabetic I tried to cut it out cold turkey and I felt horrible. Dizzy, headaches, no appetite, nausea. The first week was terrible. I had no energy and I felt lethargic. Once I was over that, it felt wonderful."
RO1,RO1.7,Digestive Health,Dr. Robert Cywes M.D.,bowel,"You're so straight forward and serious, I almost missed you saying, ""that's a fart, not a bowel movement."" Lol, i know, I'm a bit juvenile, but that was a great metaphor, and a good laugh. Not sure how I've never seen your content before, but I subscribed right away!! Thanks for the great info!! 👍✌️"
RO1,RO1.8,Skin Health,KenDBerryMD,skin,wow. I'm puzzled to find out that skintags are not what I thought they were. My dad has diabetes and I'm always afraid that one day I'll suffer from that as well. I am obese and started my weight loss journey one month ago. So far I lost 26lbs and I'm really proud. I will try the keto diet and see what changes.
RO1,RO1.8,Skin Health,KenDBerryMD,"skin, skin tag, skin tags","Yes, my skin tags always have gone away from eating a low carb diet. 👍"
RO1,RO1.8,Skin Health,Mark Hyman,itchy,"My mom had itchy scalp for years, we thought she was getting dementia,, drove me and sister crazy her scratching. She’s gone now but me and sis have same thing!"
RO1,RO1.9,Hormonal & Menstrual Health,Dr. Robert Cywes M.D.,period,I agree with every other topic he discusses  except this one.  Been carnivore for 5 years and yet still periodically have oxalate toxicity symptoms as described by other doctors... perfect bloodwoork but can feel really ill...  no other explanation.
RO1,RO1.9,Hormonal & Menstrual Health,Ben Bikman,"hormone, hormones",Is studies on man or women ... ( hormones cortisol? )
RO1,RO1.9,Hormonal & Menstrual Health,Jason Fung,cycle,I'm doing a 10 day fasting cycle of 36H fast with a 12H re-feed. I'm nearly finished with my 1st 36 hr fast and it was pretty good. I'm lookong forward to the rest of the cycle
RO2,RO2.1,Anthropometric Changes,Dr. Boz,weight,Same with stomach surgery which I did in 2016. If you don’t exercise and weight train you will lose muscle mass. And it happens when you get older too.
RO2,RO2.1,Anthropometric Changes,Ben Bikman,weight,"On keto (2 years).  This video helped shed light on why my ketone levels are lower range (c 0.5) recently (glucose is also low of course at 4.6).   Heavy weight lifting recently too, are the mitochondria using up all the FFAs with not much left over to make ketones?  Maybe there’s also less demand due to higher efficiency at using ketones?  Would love to see a video on this!"
RO2,RO2.1,Anthropometric Changes,Eric Berg DC,pounds,"Here's what happened to me after no sugar for 2 weeks:  a miracle.  I have flexor tendonitis in my fingers of both hands for years.  It's been getting worse & worse.  I am 51 & was picturing a life with crippled hands.  Made me feel terribly sad & depressed.  Other factors set me on a path to discover a healthier lifestyle, & I discovered Dr. Eric Berg.  I realized my sugar intake was ridiculous and could be contributing to many bad things, including my frequent night-time trips to the bathroom."
RO2,RO2.2,Glycemic Control,Ben Bikman,"fasting insulin, insulin","Thanks for all of this, Ben!  I am a carnivore, in my third year.  My bg typically is around 100 and ketones around 1 to 2 and this is around 12 noon.  Fasting insulin test next week.  M"
RO2,RO2.2,Glycemic Control,Dr. Robert Cywes M.D.,blood sugar,Only dr. who has done such a beautiful exposé of Blood Pressure and Blood Sugar in just twenty minutes. Essentials explained.
RO2,RO2.2,Glycemic Control,Dr. Boz,"insulin, insulin resistance","Insulin resistance is not ""deadly desease"" this is a condition"
RO2,RO2.3,Blood Pressure,Nick Norwitz,blood pressure,"Nick, I appreciate your enthusiasm in diving into the details here—it’s clear you have a bright future in this field. That said, I’d encourage you to be careful about relying on LDL-C when more precise measures such as ApoB or NMR-derived LDL particle concentration are available.  In this supercentenarian’s case, the NMR data were actually presented, and they tell a different story than the LDL-C alone. With her remarkably low VLDL, the LDL particles represented the overwhelming majority of her "
RO2,RO2.3,Blood Pressure,Eric Westman,"blood pressure, high blood pressure","I had muscle cramps for the first 4 months, since then (at 6 months now) none. I took electrolytes with magnesium and potassium during that time and started to wonder when it would stop, however, one day I woke up and realized I wasn't having those cramps anymore. It was awesome. I still have a lot of weight to lose and am having less pain from fibro/arthromyalgia. high blood pressure is gone after 40 lbs. and am no longer on the brink of diabetes. I am committed to my health and am very happy a"
RO2,RO2.3,Blood Pressure,Eric Westman,"blood pressure, my blood pressure","Im not carnivore but have been doing dirt keto for the past year and a half. I started out at 310 pounds with medicated heartburn and sleep apnea. Within 3 months of starting keto my heartburn was no longer an issue, my sleep apnea had completely gone away .  My doctor was very against keto when i told him i was going to try it, when i went in for a medical because im a truck driver with sleep apnea i have to have a medical every two years i was down 50 pounds and the heartburn was gone and slee"
RO2,RO2.4,Lipid Profile,Anthony Chaffee MD,"ldl, my ldl","Well....after being on a strict, carnivore diet (grass-fed cow & butter) & 30min of cardio every day, for 1.5yrs, my LDL is constantly over 160."
RO2,RO2.4,Lipid Profile,KenDBerryMD,"triglycerides, triglyceride","Thank you Dr. Berry.  Your videos gave me the confidence to try a keto diet.  My A1C dropped from 10.9 to 5.6 in 12 weeks.  I lost 15-20 pounds and my triglycerides cut in half. Diastolic bp dropped 10 points as well.  All now within normal range.   No meds, just information made the difference.  It simply would not have happened without your videos.  My doctor said he's never seen anything like it.  I know I am not alone in the success I've found with the information you are sharing.  When I wa"
RO2,RO2.4,Lipid Profile,Nick Norwitz,"cholesterol, triglycerides, triglyceride, hdl, ldl","I am a 52-year-old man, 184 cm tall, weighing 77 kg, a non-smoker, drink little to no alcohol, and am athletic. Unfortunately, a small plaque (1.3 mm) was found in my right carotid artery a little over a year ago. In March, my LDL cholesterol was 147. At the end of August, I started intermittent fasting, keto, and low carb independently of this, and I have been doing regular ergometer cardio training for a good two years. I lost a good 5 kg last month, even though I was already quite slim. Unfor"
RO2,RO2.5,Inflammatory Markers,Mark Hyman,crp,"This is the best most concise I've ever heard.. I had mold in my house for over 3 molds... I've had LC for 3 1/2 yrs but the last year I've gotten worst since I had the mold...they tore out my ceilings but I had been exposed for 3 months.  Thank you so much for trying to help.. so good.. I'm so sick 😭  Mcas, dystnomia, I feel like my body is constantly trying to shut down..fight or flight panic attacks.. fighting for my life.. 😭  internal tremors, Neuro problems extreme fatigure.....I'm very sca"
RO2,RO2.5,Inflammatory Markers,Nick Norwitz,crp,"Of course the sugar diet works for short term weight loss. You know what else it works extremely well for? Driving chronic inflammation through the roof and destroying the endothelial lining.  Measure your hsCRP, go on the sugar diet for 3 months, then measure your hsCRP once again. You’ll see by yourself."
RO2,RO2.5,Inflammatory Markers,Eric Westman,inflammation marker,I recently saw a study that said people who eat a low carb diet and have slightly elevated LDL large particle size lived longer as long as the triglycerides and other inflammation markers were low. I'm curious if this vegan guy realizes our body needs cholesterol for several different hormones including reproductive hormones.
RO2,RO2.6,Liver Function,Eric Westman,alt,Low carb diet has changed my life.  Eating more meat and protein in general has improved my overall health and mood.   I feel I am more in control m of my body and mind.
RO2,RO2.6,Liver Function,Jason Fung,ast,Well fasting certainly requires willpower. Looks like I live in obesity alley ha.
RO2,RO2.6,Liver Function,Shawn Baker MD,alt,"Diet is important, and carnivore is the healthiest diet for most people. But heart attacks don't happen because of lipids alone. The proximal cause is always either vasoconstriction due to stress or inflammation which can be triggered by either diet or emotional states or a combination of both. In Chinese medicine, heart attacks come from long bottled up anger causing tightness in the pectoralis and rhomboids, hence shallow breathing, inflammation, vasoconstriction, and inflammation. Dr Baker, y"
RO2,RO2.7,Kidney Function,Dr. Robert Cywes M.D.,bun,"Yes, you made me think. As a victim of two kidney stones now, the second one 8 mm, both dislodged shortly after becoming fat adapted, I'm extremely concerned. Afraid even. I don't ever want to go through that again. However my carbohydrate addiction is also horrible and I'm having trouble kicking it. My urologist says the main problem with kidney stones is not drinking enough water. After watching your video, I'm inclined to agree. Water is very hard for me. if I don't put myself on a drinking s"
RO2,RO2.7,Kidney Function,KenDBerryMD,bun,"I started the ketocarnivore diet about  three to four weeks ago and I've already noticed that my acne issues have almost gone away, though I'm currently suffering through a boil. I'm transitioning from keto to total carnivore, as I'm helping my mom to get rid of a bunch of veggies, canned, that they have in storage! But I'm seeing differences already. I'm not seeing much weight loss yet, but it doesn't matter, because my scales scream when I get on them! It says OL, oh lord! I think it actually "
RO2,RO2.7,Kidney Function,Nick Norwitz,bun,I think periods of low protein like say 1 or 2 weeks alternated with periods of high protein and resistance training may be good.   Cyclic periods of abundance and scarcity may be of benefit
RO2,RO2.8,Hormonal Markers,Dr. Robert Cywes M.D.,cortisol,I fasted slowly increased the time and it literally shot my cortisol so high and my A-1C too ! I was eating carnivore and I’ll never do that again ! Once I stopped all fasting and added some fruit back in plus just a few low carb vegetables my bs and A-1C came down ! And my blood pressure went to normal as my cortisol dropped since I was no longer fasting nor eating zero carbs ! Beware of these influencer doctors it’s not good for everyone and definitely NOT ONE SIZE FITS ALL ! I’m finally losin
RO2,RO2.8,Hormonal Markers,Anthony Chaffee MD,tsh,nightshades only affect 1 in 10 people. For the rest of us they're perfectly healthy
RO2,RO2.8,Hormonal Markers,Ben Bikman,estrogen,What if lipedema is like endometriosis? Both tend to affect women. Both are cells overgrowing in areas in ways that gunk up surrounding tissues and cause pain and adhesions. Both seem to be estrogen driven.
RO3,RO3.1,Type 2 Diabetes,Jason Fung,"diabetes, type 2, type 2 diabetes, my diabetes",Dr. Fung you should get the Governor General Award for all the free information you share with us here and Facebook and your books and interviews.  I was able to reverse my type 2 Diabetes.  Now I have ME post vaccine and my Diabetes is back.  So I am participating in the LifestyleRx program free through the provincial government and it is all the principles you taught me.  Yet your videos are more accurate than some of their answers to questions so I am subscribed to here too.  Thank you for al
