ro_id,aspect_id,aspect_name,channel,matched_keywords,comment
RO3,RO3.1,Type 2 Diabetes,KenDBerryMD,"diabetes, type 2, type 2 diabetes","“I've been diagnosed with type 2 diabetes, but I'm handling it with confidence. I followed a strict keto diet for two years under the guidance of so-called experts like Dr. Ekberg, but it only worsened my condition. The moment I deviated, my blood glucose soared. Now, after switching to a very low-fat diet for just a month, I can consume large amounts of boiled potatoes without experiencing a spike in my blood glucose levels. It's clear that some Doctors are promoting misinformation for their ow"
RO3,RO3.1,Type 2 Diabetes,Jason Fung,"diabetic, prediabetic","Dear Dr. Fung,   Thank you for this clarification and for all your wise advice over the years.  Yes, I have been making the mistake of eating too much on OMAD — I did think I needed to make up the calories.    My digestive process is also very slow.  Food stays in my stomach a long time.  Eating too much is not helping my digestive process either.  I’m learning by trial and error.  It seems that I do better if I have a 24-36 hour fast once a week.  After the longer fast period, my fasting glucos"
RO3,RO3.2,Fatty Liver Disease,Eric Westman,liver disease,"My cholesterol which was very high just doubled in my last labs. my BP and all heart tests show no problem. Triglycerides low, HDL high. I am not worried about that. I eat a lot of tallow and butter, some lard.  My liver parameters which were all normal dropped by half. Super good. I had very severe end stage liver disease 15 years ago."
RO3,RO3.2,Fatty Liver Disease,Eric Berg DC,"fatty liver, my fatty liver","I learned of my fatty liver condition last year and in my panic I went thru lots of educational materials online until I came across a youtube suggestion (not all algorithms fail!) of Dr. Berg's videos on that subject. First, I was not too sure of an easy comeback, however I tried out his tips and teachings for several months. It was a turning point in my life and not only did I learn how to curb and reverse my fatty liver, but I also learned much more and pass on his shared knowledge with my fo"
RO3,RO3.2,Fatty Liver Disease,Jason Fung,nafld,"Thank you Dr. Jason for all your high quality beneficial videos, they are very informative and professionally presented, I will widely share them to contribute in educating my relatives, friends and coworkers how to protect themselves from this dietary epidemic disease “NAFLD”. Thank you again and may God bless you."
RO3,RO3.3,Cardiovascular Disease,Eric Berg DC,heart disease,"I was in the hospital with heart disease for a week and was given eggs every morning for breakfast, sometimes I'd have an egg salad sandwich on wheat bread for lunch. I'm still here."
RO3,RO3.3,Cardiovascular Disease,Ben Bikman,heart attack,"Dr Wm Davis, cardiologist,  has a March 2025 video saying older people need to stop doing cold therapies cause it cause heart attack"
RO3,RO3.3,Cardiovascular Disease,Ben Bikman,bypass,"I once had a coworker who had gastric bypass and apparently lost a bunch of weight… but all I saw was her downing daily  Venti Starbuck’s Frappuccinos with 72g sugar (18tsp). Needless to say, when she randomly fell pregnant, no one could even tell."
RO3,RO3.4,Hypertension,KenDBerryMD,hypertension,"My nephrologist commented on my skin tags and suggested I have ""my dermatologist"" remove them. This was three years before I was diagnosed diabetic. I was seeing her because of kidney health issues due to hypertension.  Insulin resistance, metabolic syndrome, hyperinsulinemia and prediabetes were not mentioned. My fasting insulin was never tested.  I believe all skin tags are gone today, after keto and fasting. Blemishes on my back and shoulders are gone too. I don't seem to get pimples, either."
RO3,RO3.4,Hypertension,Dr. Robert Cywes M.D.,hypertension,It is generally accepted that sugar causes atherosclerosis and now it causes hypertension. Thank you.
RO3,RO3.4,Hypertension,Dr. Robert Cywes M.D.,hypertension,Thank you for this very well explanation of hypertension functions.   I’m cutting out all cards.  But 3-4 times a week I’ll have bread or some rice.   But even still need to lesson those amounts.
RO3,RO3.5,PCOS,Mark Hyman,pcos,"This story with Cynthia Li is MY story too! Becoming violently ill in Mexico while on honeymoon - and I was ""never the same since."" Later finding out I had chronic Lyme, Endometriosis, Hashimotos Thyroiditis, Celiac Disease, PCOS....and so on after seeing a string of specialists. It was finally a homeopathic doctor that was able to educate me of the cascade effect of the food I was eating and stressful lifestyle I was living (Lean Cuisine was a ""healty meal"" and running 8-10 miles per day on the"
RO3,RO3.5,PCOS,Dr. Robert Cywes M.D.,pcos,Ok I have pcos and insulin resistance and I've been on keto 2 months with no real results so added intermittent fasting started with 16 and 8 for 3 weeks and still nothing. I added a blood ketone metre (kiss my keto metre) and went to 1 meal a today is only day 2. Yesterday my blood ketone at 3pm was 3.1 I at at 5:30pm and at 9pm 1.9. Today at 2:30pm it was 0.9 and at 6:30 before my meal 0.8 what is happening? I read fasting levels should be between 3 and 5 yesterday it was today it wasn't. Im t
RO3,RO3.5,PCOS,Dr. Boz,pcos,"Thank you for this video Dr Boz, very informative. I have been doing keto since 7th Jan this yr and started 16/8 IF about a month later, found it easier than expected! I do a OMAD a few times per week now too. Feeling great. Have lost 23lbs, 4 inches from hips and 3.5 inches from waist. Clothes beginning to hang off me! Some prolonged spotting noted but my own doctor believes it's my hormones resetting due to fat loss so she is not overly concerned about it! I have PCOS so some of the horrid sym"
RO3,RO3.6,Neurodegenerative Disease,Anthony Chaffee MD,alzheimer,I want to keep from getting Alzheimer’s like my mother did! I’ll be learning more from this good fellow!
RO3,RO3.6,Neurodegenerative Disease,Anthony Chaffee MD,dementia,We are going to start this today. Mom is 95 with dementia. Looking forward to a change in her condition. She lives with me at home.
RO3,RO3.6,Neurodegenerative Disease,Anthony Chaffee MD,"alzheimer, alzheimers","Hi Dr Chaffee, My mum is 86 years old , she has Alzheimers now for 9 years, in the last 2-3 years her Alzheimers has increased, she lost 98% of her speech, but sometimes she can surprise me, many words are just coming back only for that time, what I also noticed, if a have a conversation with someone, she is understanding and she is laughing, if the conversation is funny, and she is trying to talk , her words are hard to understand but she is using the  correct words (so I assume she is understa"
RO3,RO3.7,Chronic Kidney Disease,Anthony Chaffee MD,"kidney disease, chronic kidney",Very important consideration. What about those of us that have some level of chronic kidney disease? Doesn't the carnivore diet make that condition much worse? How can we deal with this problem?
RO3,RO3.7,Chronic Kidney Disease,Jason Fung,nephropathy,"Thank you, Dr. Fung.  Between you and Dr. Lustig, you REALLY guided me to repentance and led my into a new and healthy life, free from sugar and chronic disease.  My diabetes has reversed along with nephropathy and other horrible consequences of the typical American diet. Thank you for loving mankind so much that you have divorced yourself from the power of evil organizations in order to help people live longer and higher quality lives. God bless you."
RO3,RO3.7,Chronic Kidney Disease,Dr. Robert Cywes M.D.,"kidney disease, chronic kidney","What you say for patients with chronic kidney disease, how much meat they should be eating"
RO3,RO3.8,Gout,Nick Norwitz,gout,"im on ketovore for 3 months. i eat beef, pork, fish, chicken, eggs animal organs some lowcarb veggies like bokchoy avocado brocolli cauliflower. water only. im now slim and my gout is gone"
RO3,RO3.8,Gout,Dr. Boz,gout,I wish I could do this. I love Sardines and it would be easy for me except it is the one food that triggers gout for me. If I eat more than a can or two I will pay for it.
RO3,RO3.8,Gout,Dr. Boz,"gout, uric acid, uric","Purines. Uric acid. Gout. Thanks for the weeks of pain, doctor."
RO3,RO3.9,Cancer,Anthony Chaffee MD,cancer,"I was recently told that I need to eat fruit and veggies or I will get cancer, as I was standing next to my best friend’s urn who just died of cancer.  Hmm, I will take my chances without fruits & veg."
RO3,RO3.9,Cancer,Anthony Chaffee MD,cancer,Is there anyone with Liver cancer who has implemented that diet with tested success?
RO3,RO3.9,Cancer,Mark Hyman,cancer,People lived in pain and eventually died years ago of bowel cancer due to not being diagnosed with celiac.
RO3,RO3.10,Osteoporosis,Dr. Robert Cywes M.D.,osteoporosis,"Coffee is not at all “loaded with oxalates”. The values reported are for instant coffee as if eaten in a macro quantity, like a food. Basically a miscalculation. Because a cup of instant coffee has about a gram of actual coffee in it. It’s 99.5% water. Common misconception. Maybe a minor point; I agree more generally what youre saying.  Finally, too much calcium is often a big part of this. Especially if supplemented. It’s d3 and k that stop osteoporosis not calcium. Book “death by calcium” is v"
RO3,RO3.10,Osteoporosis,Anthony Chaffee MD,osteoporosis,"I started Carnivore 2 weeks ago.  I have lost 8 lbs.   But The reason I started carnivore is that I was having a lot of pain in my feet and ankles. It had gotten so bad until they hurt all the time and I had a hard time walking on my feet. Within 1 week of starting carnivore, the pain in my feet, ankles & hands was gone.  I am trying to get the inflammation out of my body.  I have no discs in my lower back and I hang on an inverse table periodically and that is what has saved me from surgery.  I"
RO3,RO3.10,Osteoporosis,Eric Westman,osteoporosis,"The Inuit in Northern Canada ate only fatty meat. Studies show they had robust health and remarkably low incidences of modern diseases, including heart disease, type 2 diabetes, cancer, and osteoporosis."
RO3,RO3.11,Stroke,KenDBerryMD,tia,A friend and I are starting a 14 day carnivore challenge on Monday of next week. For him it's to address chronic skin issues and for me it's to continue the amazing recovery I've obtained from chronic mental health issues via a ketogenic style eating plan. This video is an essential education for anyone looking to begin a carnivore style eating plan. Thanks Dr Berry!
RO3,RO3.11,Stroke,KenDBerryMD,tia,You can also just add essential oils for tasty water.
RO3,RO3.11,Stroke,Eric Westman,tia,"Thank you for your sound  minded video.  I gave the Carnivore food plan a 90 day trial….that was two years ago, and I decided to continue.  I do drink a European size (large) cup of morning coffee with a scoop of flavored Collagen, whole cream, cinnamon, and Splenda.   My find for satisfying a bit of crunch is pork rinds with sour cream..no carbs.  Eggs, butter, some cheese two or three times a week, rib eye steak, and angus beef patties are the daily menu.  Occasionally, I will indulge in spare"
RO3,RO3.12,ADHD,Eric Berg DC,add,"Also, I will add that both of my parents have gone vegan in the past couple years, my Mom had her cholesterol levels checked before and after, and they have significantly reduced after removing eggs, dairy, ect. I'd love to see more actual studies on this. It's very interesting."
RO3,RO3.12,ADHD,Dr. Robert Cywes M.D.,add,Dr Cywes as a Nutrition Network trained Metabolic Health Practitioner I am able to reverse many chronic metabolic diseases with therapeutic ketogenic nutrition.  The single biggest challenge and the main reason my clients need to be coached through nutrition over several weeks is carbohydrate addiction.   So for them it's zero carb's by mouth and gluconeogenesis for required cellular glucose.   As an addict they have no option.  As an athlete and sports coach I personally don't eat or want any c
RO3,RO3.12,ADHD,Eric Westman,add,"I’m trying to get healthy and started carnivore a couple weeks ago, I tried adding some fruit and vegetables and it just seems to trigger sugar cravings and an intense feeling of hunger even when I know I’m full"
RO3,RO3.13,Thyroid Disease,Ben Bikman,"thyroid, hypothyroid, hypothyroidism","I am insulin resistant according to CGM reading (mostly 5.4 during night, 5.6-6.1 during day), this being 3 years on Keto/vore. It's either my liver produces glucose also at night (gluconeogenesis), but my fat cells are full and can't take anymore, or my insulin is ""lazy"" and don't stabilise the glucose, or both.  And I can imagine that being 50 and having hypothyroidism. But if Keto doesn't work, what else to do? Berberin? Anything??"
RO3,RO3.13,Thyroid Disease,KenDBerryMD,hashimoto,"I am on the ketovore /paleo and I have seen amazing results. I still eat my greens but add meat to my salads plus avocado. Working through what causes my Hashimoto’s to flare and cut that out. I don’t like fatty parts of the meat. I have tried several times and it is nauseating every time. But I cook with animal fat, use olive oil and coconut oil. I have complete confidence that I will transition into carnivore eventually.  Thank you so much. I never would have known I had Hashimoto’s without wa"
RO3,RO3.13,Thyroid Disease,Dr. Boz,"hashimoto, hashimotos",I have Hashimotos.  Hardly any hair anywhere
RO3,RO3.14,Inflammatory Bowel Disease,Eric Berg DC,"crohn, crohns",I have crohns the difference is unbelievable since I started taking apple cider  vinegar
RO3,RO3.14,Inflammatory Bowel Disease,Dr. Robert Cywes M.D.,ibs,I just ate 5 pork ribs i feel like a carnivore
RO3,RO3.14,Inflammatory Bowel Disease,Nick Norwitz,ibs,"I cured my eczema, my seborrheic dermatitis, my dull skin, joint pain from running and sports, hair texture and quality and also my weight gain by eating mostly carnivore with fruits after taking a bunch of shampoos and supplements for years trying to cure them without ANY results. After I took accutane, I got bad side effects of permanent dry scalp and the eczema (anecdotal I know) and I had bad stomach cramps ever since I was 12-13 and hit puberty. I have never felt like I've been lied to my w"
RO3,RO3.15,Autoimmune Disease,KenDBerryMD,"ms, ra","I think all these claims lack scientific support. We need to know the sample size. We also need to know if it is bad for everybody or just a small subset of people. As you can see from the comments here, it seems most people get the benefits rather than the unsubstantiated side effects. Also, we need to know how much to eat before reaching the harmful effects. One funny thing to say is that oatmeal is high in carb. What kind of breakfast food are you comparing to? Bread? Sausage? Bacon? Cereal? "
RO3,RO3.15,Autoimmune Disease,Eric Westman,ms,"I can can confirm this, as a recipient of an osteomy.   Plants no no.    All meat, no problems.    Thanks dr westman, and Kentcarnivore."
RO3,RO3.15,Autoimmune Disease,Anthony Chaffee MD,ra,Great Video. Enjoyed it thoroughly! I watched my girlfriend deteriorate dramatically once she went into a nursing home. There is so much to change in those nursing homes.
RO3,RO3.16,Fibromyalgia & Neuropathy,Mark Hyman,"fibromyalgia, fibro","I suffer with back, muscle and bone pain.  I realize now it started when i took omezolrole for gerd.   My calves locked up    I was in my early 40’s.   Now at the age of 67 , I suffer with pain so bad.   I was I was diagnosed with fibromyalgia in my 40s. I’m listening to you speak and I feel it’s from the Omezoprole"
RO3,RO3.16,Fibromyalgia & Neuropathy,KenDBerryMD,neuropathy,"This is a long post and I apologize. I first saw this video on 3/20/22. It motivated the hell out of me. I have had type II diabetes for 22 years. I ignored all medical advice until I was put on medication. Still, not taking it seriously until my lab numbers were off the hook. Years ago I developed neuropathy in my feet. More medication. My addiction to sugar & carbs were just going to kill me. I was resigned to that fact. Missing doctor appts. and still eating loads of carbs and sugar. Two week"
RO3,RO3.16,Fibromyalgia & Neuropathy,Eric Westman,neuropathy,"2 years ago, I saw a doctor for the last time after 20 years of T2D, high blood pressure obesity and finally also neuropathy. My doctor told me to take my meds (8 of them) and he prescribed me Xanax... so I feel better about my situation. I never filled the prescription and started educating myself. I started on a Keto diet and within a week my blood pressure was normal (120/80) and within 6 month I lost 50lbs and got my A1C under 6.0. But after that I somewhat stalled... I am 70 so I do never w"
RO3,RO3.17,Arthritis,Nick Norwitz,arthritis,Nick Norwitz  what do you have on arthritis ?
RO3,RO3.17,Arthritis,Eric Berg DC,arthritis,"You were one of the first doctors thst I listened to on you tube.  I learned fasting,  healthy eating and so much more. I've lost 80 pounds and reversed type 2 diabetes.  I have eliminated Inflammation from arthritis which is almost reversed.  The medical and food industry is a disaster and has killed millions."
RO3,RO3.17,Arthritis,Eric Westman,arthritis,"This guy says plant based people had less COVID..I had a very bad case with long haul that lasted about a year. I was plant based and wonder in retrospect if I could have been better off with high fat in that time. I actually ended up on 2 different blood pressure meds because I was so messed up. Oh yeah, my cholesterol was pretty high on plant based diet, doctor put me on a statin of course. Thankful to say, I’m off all meds since going carnivore. As a happy bonus, my arthritis and chronic fati"
RO3,RO3.18,Gallbladder Disease,Anthony Chaffee MD,"gallbladder, cholecystectomy","What about those of us with no gallbladder?  Should we be diligent to take bile salts with our carnivore meals?  I hope you will address this.  I have been faithfully carnivore for 2 years and haven't met with the results I was hoping for... but I had a cholecystectomy 30 years ago, so...  I bet a lot of us are wondering about this.  Thanks!"
RO3,RO3.18,Gallbladder Disease,KenDBerryMD,gallbladder,"lol, no, I'm not giving up my lemons. I had fatty liver at stage S3. After a year of strict carnivore, it improved only slightly. I started blending a quarter to half of a lemon, peel and all, into 12oz of water daily (I missed a day here and there). By the time of my next fibroscan, my fatty liver was down to stage 0 ... very little fatty infiltration left (and the next HIDA scan showed my sluggish gallbladder was finally functioning perfectly normal after years of issue). And here's the kicker"
RO3,RO3.18,Gallbladder Disease,Anthony Chaffee MD,"gallbladder, cholecystectomy","Dr. Chafee I would like to start Carnivore but I had a cholecystectomy, without my gallbladder can I still try the Carnivore lifestyle? Thank you."
